Drug	c_target_A	c_target_cancer_direct_A	c_target_cancer_direct_A_scoreA	c_target_cancer_second_A	c_target_cancer_B	c_target_cancer_degree_B	c_target_cancer_degree_B_scoreA	c_target_cancerB_B	c_target_cancerB_degree_B	c_target_cancerB_degree_B_scoreB	c_target_B
DB05317	2	0	0	1	2	2	2	10	10	145	22
DB05316	2	0	0	2	5	6	6	76	117	2203	87
DB05304	2	2	4	1	5	5	14	23	23	416	23
DB05303	2	0	0	2	15	15	48	86	89	1973	101
DB05301	2	0	0	2	10	10	31	97	98	3063	113
DB05281	2	2	12	2	43	46	139	254	259	6371	254
DB05265	2	0	0	0	0	0	0	0	0	0	2
DB05255	2	1	1	1	14	14	19	107	107	309	107
DB05254	2	0	0	2	13	14	33	87	93	1050	94
DB05235	2	1	1	1	13	13	42	37	37	997	37
DB05212	2	2	6	2	54	63	192	316	433	9880	316
DB05207	2	0	0	2	15	15	48	86	89	1973	101
DB05203	2	0	0	0	0	0	0	15	16	246	20
DB05202	2	0	0	1	16	16	37	136	136	2357	143
DB05198	2	2	20	2	57	61	166	563	581	18180	563
DB05190	2	2	7	2	37	62	118	220	379	15357	220
DB05171	2	0	0	0	0	0	0	4	7	19	8
DB05169	2	2	4	2	21	28	52	255	426	8009	255
DB05161	2	1	2	1	1	1	1	15	19	175	16
DB05149	2	2	2	1	52	52	177	223	223	5425	223
DB05142	2	0	0	1	1	1	1	7	7	116	7
DB05134	2	2	5	2	110	186	595	785	1422	26072	785
DB05129	2	2	26	2	7	7	21	120	122	1722	120
DB05096	2	0	0	2	8	16	16	61	120	268	62
DB05080	2	1	1	1	1	1	1	56	58	1036	56
DB05079	2	1	1	1	2	2	2	59	59	1058	64
DB05078	2	0	0	2	4	5	6	18	19	490	19
DB05069	2	0	0	0	0	0	0	1	2	2	3
DB05046	2	0	0	2	1	2	2	61	114	1952	67
DB05045	2	0	0	2	1	2	2	53	104	1906	55
DB05041	2	2	2	0	0	0	0	0	0	0	0
DB05037	2	2	5	2	83	153	351	755	1304	24586	755
DB05035	2	2	2	2	16	28	72	50	77	2036	50
DB05024	2	1	1	2	16	18	40	62	65	1380	62
DB05022	2	2	21	2	3	4	23	103	190	2619	103
DB05017	2	0	0	2	13	13	40	83	84	1789	96
DB05013	2	2	5	2	55	82	173	381	659	23669	381
DB05010	2	0	0	2	2	3	3	14	22	230	17
DB05003	2	2	12	2	4	5	15	56	81	917	56
DB04988	2	2	25	2	70	101	392	360	486	12459	360
DB04971	2	1	1	2	27	34	98	126	155	2978	137
DB04959	2	2	2	0	0	0	0	20	20	398	20
DB04942	2	2	6	2	20	26	78	74	106	2002	74
DB04941	2	0	0	1	5	5	5	147	147	2142	169
DB04924	2	0	0	1	4	4	4	64	65	1224	70
DB04919	2	0	0	2	6	9	9	32	55	1287	35
DB04917	2	0	0	0	0	0	0	0	0	0	0
DB04912	2	0	0	1	1	1	2	8	9	153	9
DB04905	2	2	5	1	6	6	18	112	112	2183	112
DB04903	2	0	0	0	0	0	0	5	10	44	19
DB04893	2	2	3	2	2	2	3	12	17	35	12
DB04891	2	1	1	2	27	29	85	123	132	1873	126
DB04888	2	1	1	2	4	5	5	69	120	2176	75
DB04869	2	0	0	0	0	0	0	1	1	1	6
DB04868	2	2	22	2	76	100	238	538	757	29204	538
DB04866	2	2	4	2	7	7	10	47	49	602	47
DB04865	2	0	0	1	4	4	4	226	226	1476	318
DB04863	2	1	1	2	24	30	97	180	198	3727	181
DB04861	2	0	0	2	8	8	34	87	133	2598	93
DB04846	2	0	0	2	8	8	34	87	133	2598	93
DB04844	2	0	0	2	5	5	5	66	66	1231	72
DB04843	2	0	0	0	0	0	0	5	5	123	5
DB04839	2	2	16	2	37	40	122	258	273	4558	258
DB04838	2	0	0	0	0	0	0	13	13	48	21
DB04836	2	1	1	0	0	0	0	7	11	23	8
DB04794	2	0	0	1	1	1	12	3	3	30	5
DB04574	2	2	22	2	47	59	176	199	237	5050	199
DB04398	2	0	0	0	0	0	0	0	0	0	0
DB03925	2	1	2	1	1	1	1	14	17	137	14
DB03849	2	0	0	2	3	5	5	23	39	967	25
DB03424	2	2	2	0	0	0	0	9	9	17	9
DB02187	2	2	18	1	44	44	116	193	193	3662	193
DB01626	2	0	0	2	12	24	52	20	39	677	24
DB01625	2	0	0	0	0	0	0	8	8	88	8
DB01620	2	1	1	1	3	3	4	20	20	379	22
DB01613	2	0	0	2	8	16	28	93	183	4281	98
DB01611	2	1	1	2	5	7	30	122	230	3042	124
DB01606	2	0	0	0	0	0	0	0	0	0	0
DB01600	2	0	0	2	13	13	40	28	29	976	30
DB01599	2	0	0	1	17	17	31	56	56	887	70
DB01586	2	1	1	2	9	9	31	34	34	624	45
DB01583	2	2	2	2	16	28	72	50	77	2036	50
DB01549	2	0	0	2	6	6	6	150	151	1897	157
DB01444	2	0	0	2	1	2	2	62	113	1945	67
DB01440	2	0	0	0	0	0	0	2	2	2	13
DB01435	2	0	0	2	13	13	40	28	29	976	30
DB01431	2	2	22	2	53	63	170	210	232	5191	210
DB01419	2	0	0	2	13	13	40	28	29	976	30
DB01414	2	0	0	0	0	0	0	0	0	0	0
DB01405	2	0	0	0	0	0	0	0	0	0	0
DB01401	2	0	0	2	13	13	40	28	29	976	30
DB01399	2	0	0	2	13	13	40	28	29	976	30
DB01397	2	0	0	2	13	13	40	28	29	976	30
DB01394	2	2	16	2	23	39	97	156	274	8046	156
DB01382	2	0	0	1	2	2	4	71	71	1375	75
DB01369	2	0	0	0	0	0	0	0	0	0	0
DB01367	2	1	6	2	33	33	77	128	128	2556	131
DB01349	2	0	0	2	4	5	26	91	130	2922	96
DB01336	2	0	0	0	0	0	0	8	8	125	17
DB01299	2	0	0	0	0	0	0	0	0	0	0
DB01291	2	0	0	2	8	8	34	87	133	2598	93
DB01285	2	0	0	0	0	0	0	38	38	798	41
DB01283	2	0	0	2	13	13	40	28	29	976	30
DB01281	2	1	2	2	4	5	10	10	12	81	10
DB01275	2	0	0	0	0	0	0	3	3	45	3
DB01259	2	2	25	2	70	101	392	360	486	12459	360
DB01255	2	1	1	1	2	2	2	62	62	1035	63
DB01252	2	0	0	2	15	15	44	156	157	2924	170
DB01251	2	0	0	1	2	2	4	69	69	1339	72
DB01250	2	0	0	0	0	0	0	11	11	83	11
DB01247	2	0	0	2	12	24	52	20	39	677	24
DB01225	2	1	1	2	4	4	4	63	63	202	76
DB01220	2	1	12	1	9	9	33	33	33	652	33
DB01218	2	1	1	1	1	1	4	20	20	147	20
DB01214	2	0	0	2	8	8	34	87	133	2598	93
DB01210	2	0	0	2	8	8	34	87	133	2598	93
DB01209	2	0	0	2	1	2	2	61	114	1952	67
DB01207	2	0	0	1	7	7	10	56	56	1218	56
DB01203	2	0	0	2	8	8	34	87	133	2598	93
DB01202	2	0	0	1	2	2	2	65	65	345	68
DB01193	2	0	0	2	8	8	34	87	133	2598	93
DB01192	2	0	0	2	1	2	2	62	113	1945	67
DB01191	2	0	0	1	1	1	1	57	57	944	58
DB01184	2	0	0	2	4	5	5	69	122	2218	77
DB01176	2	1	1	0	0	0	0	5	5	51	5
DB01168	2	0	0	2	12	24	52	20	39	677	24
DB01167	2	0	0	0	0	0	0	3	3	20	3
DB01160	2	0	0	2	2	2	2	48	84	1710	48
DB01155	2	0	0	0	0	0	0	0	0	0	0
DB01148	2	0	0	0	0	0	0	10	10	219	10
DB01146	2	1	1	0	0	0	0	16	16	151	17
DB01143	2	2	2	0	0	0	0	1	1	36	1
DB01135	2	0	0	0	0	0	0	8	8	125	17
DB01133	2	0	0	2	47	47	177	190	190	4654	196
DB01131	2	1	4	0	0	0	0	5	5	36	5
DB01127	2	1	12	1	9	9	33	33	33	652	33
DB01126	2	0	0	0	0	0	0	2	2	50	2
DB01124	2	0	0	1	2	2	4	71	71	1375	75
DB01120	2	1	5	2	29	30	125	126	127	3030	129
DB01113	2	0	0	2	2	3	3	16	23	528	17
DB01106	2	1	1	1	1	1	1	51	51	949	52
DB01104	2	0	0	0	0	0	0	13	18	117	15
DB01099	2	1	2	1	8	8	36	76	76	1444	76
DB01087	2	2	2	0	0	0	0	12	12	13	12
DB01082	2	0	0	0	0	0	0	2	2	82	2
DB01081	2	0	0	2	1	2	2	62	113	1945	67
DB01080	2	0	0	1	1	1	1	16	16	163	21
DB01077	2	0	0	2	24	24	42	111	111	2739	116
DB01075	2	1	1	0	0	0	0	9	12	175	9
DB01067	2	0	0	2	15	15	44	156	157	2924	170
DB01066	2	0	0	0	0	0	0	0	0	0	0
DB01051	2	0	0	0	0	0	0	0	0	0	0
DB01048	2	0	0	0	0	0	0	0	0	0	0
DB01047	2	2	6	2	18	19	49	141	142	3064	141
DB01037	2	0	0	2	12	24	52	20	39	677	24
DB01031	2	2	2	1	1	1	5	8	13	67	8
DB01030	2	2	12	2	5	9	29	27	41	624	27
DB01029	2	1	3	2	49	51	163	323	327	6747	328
DB01024	2	2	2	2	3	3	5	87	114	2340	87
DB01022	2	1	1	1	1	1	1	8	8	52	9
DB01018	2	1	1	2	2	3	3	58	111	2066	58
DB01011	2	0	0	0	0	0	0	0	0	0	1
DB01010	2	0	0	0	0	0	0	0	0	0	7
DB01007	2	0	0	0	0	0	0	3	3	20	3
DB01004	2	0	0	0	0	0	0	0	0	0	0
DB01003	2	0	0	0	0	0	0	1	1	1	2
DB00998	2	0	0	2	2	4	4	57	109	1932	59
DB00997	2	2	17	1	2	2	6	108	108	1379	108
DB00995	2	1	1	1	28	28	75	308	308	4054	312
DB00994	2	1	1	1	14	14	19	107	107	309	107
DB00993	2	1	1	1	68	68	194	448	448	10006	574
DB00991	2	0	0	2	13	13	40	28	29	976	30
DB00989	2	0	0	0	0	0	0	0	0	0	7
DB00980	2	2	2	2	2	2	2	9	15	382	9
DB00970	2	2	21	2	3	4	23	103	190	2619	103
DB00968	2	1	1	1	2	2	2	56	56	1064	60
DB00966	2	0	0	2	17	17	65	164	166	3487	180
DB00963	2	0	0	2	13	13	40	28	29	976	30
DB00962	2	0	0	1	2	2	2	8	8	39	22
DB00956	2	0	0	2	1	2	2	62	113	1945	67
DB00944	2	0	0	0	0	0	0	0	0	0	7
DB00940	2	0	0	0	0	0	0	40	42	901	41
DB00937	2	1	1	0	0	0	0	11	15	106	12
DB00933	2	0	0	2	5	6	6	76	117	2203	87
DB00920	2	1	1	0	0	0	0	5	5	51	5
DB00918	2	0	0	2	2	4	4	57	109	1932	59
DB00914	2	0	0	1	58	58	194	245	245	7345	247
DB00912	2	0	0	2	15	15	44	156	157	2924	170
DB00900	2	1	1	0	0	0	0	1	1	2	1
DB00895	2	0	0	2	6	7	17	14	15	456	16
DB00890	2	2	22	1	44	44	116	182	182	3640	182
DB00886	2	0	0	1	1	1	1	9	10	260	10
DB00882	2	2	22	1	44	44	116	182	182	3640	182
DB00872	2	0	0	2	2	2	19	67	106	2329	68
DB00870	2	0	0	2	13	13	40	28	29	976	30
DB00861	2	0	0	2	13	13	40	28	29	976	30
DB00851	2	0	0	1	2	2	5	38	38	451	38
DB00847	2	0	0	2	4	4	4	56	56	960	57
DB00845	2	0	0	1	4	4	5	100	100	1858	101
DB00843	2	0	0	1	2	2	2	54	54	1007	66
DB00839	2	0	0	1	2	2	4	70	71	1355	73
DB00837	2	0	0	1	1	1	1	17	17	181	32
DB00833	2	0	0	0	0	0	0	0	0	0	0
DB00830	2	1	1	0	0	0	0	11	15	106	12
DB00823	2	2	22	2	53	63	170	210	232	5191	210
DB00822	2	0	0	1	1	1	1	27	27	113	28
DB00821	2	0	0	2	13	13	40	28	29	976	30
DB00820	2	1	1	2	1	2	2	9	16	241	9
DB00817	2	0	0	0	0	0	0	0	0	0	0
DB00814	2	0	0	2	13	13	40	28	29	976	30
DB00810	2	0	0	0	0	0	0	4	4	96	13
DB00808	2	0	0	2	4	4	4	31	31	166	32
DB00804	2	0	0	0	0	0	0	10	10	219	10
DB00790	2	0	0	0	0	0	0	35	35	403	35
DB00784	2	0	0	2	13	13	40	28	29	976	30
DB00778	2	1	4	1	6	6	18	107	107	2132	107
DB00775	2	1	1	2	24	30	97	180	198	3727	181
DB00773	2	2	21	2	3	4	23	103	190	2619	103
DB00764	2	2	9	2	28	33	91	108	124	3235	108
DB00762	2	2	12	2	5	9	29	27	41	624	27
DB00754	2	1	12	2	13	13	37	103	103	941	104
DB00752	2	0	0	2	12	24	52	20	39	677	24
DB00745	2	1	1	1	2	2	2	62	62	1035	63
DB00740	2	0	0	1	4	4	4	71	71	290	73
DB00737	2	1	1	1	3	3	4	20	20	379	22
DB00733	2	0	0	0	0	0	0	0	0	0	7
DB00731	2	0	0	2	15	15	44	156	157	2924	170
DB00724	2	0	0	2	2	4	10	112	220	2773	114
DB00712	2	0	0	2	13	13	40	28	29	976	30
DB00711	2	1	1	1	1	1	17	7	7	86	8
DB00709	2	0	0	0	0	0	0	0	0	0	0
DB00707	2	2	11	1	7	7	17	16	16	340	16
DB00695	2	1	1	1	1	1	5	10	10	46	10
DB00694	2	2	21	2	3	4	23	103	190	2619	103
DB00691	2	0	0	0	0	0	0	5	6	247	5
DB00688	2	2	2	2	3	3	5	87	114	2340	87
DB00682	2	1	12	1	9	9	33	34	34	665	34
DB00666	2	1	6	2	1	2	2	49	93	1814	50
DB00644	2	1	6	2	1	2	2	49	93	1814	50
DB00643	2	2	7	2	32	54	176	195	320	8897	195
DB00635	2	2	5	2	14	15	40	84	85	1809	84
DB00632	2	0	0	0	0	0	0	0	0	0	0
DB00631	2	2	11	2	17	17	30	205	205	2843	205
DB00629	2	1	1	2	2	3	3	58	111	2066	58
DB00626	2	1	1	1	1	1	3	14	14	225	17
DB00618	2	0	0	0	0	0	0	0	0	0	0
DB00612	2	0	0	2	8	8	34	87	133	2598	93
DB00609	2	0	0	0	0	0	0	0	0	0	0
DB00603	2	2	22	2	53	63	170	210	232	5191	210
DB00602	2	0	0	0	0	0	0	1	1	1	13
DB00595	2	0	0	0	0	0	0	0	0	0	0
DB00577	2	0	0	0	0	0	0	0	0	0	0
DB00569	2	1	1	2	4	4	4	63	63	202	76
DB00561	2	0	0	0	0	0	0	7	14	550	7
DB00559	2	0	0	2	7	9	66	65	115	2573	69
DB00554	2	0	0	2	13	13	40	28	29	976	30
DB00551	2	1	2	0	0	0	0	0	0	0	0
DB00541	2	2	13	2	33	47	142	190	303	8504	190
DB00539	2	2	22	1	44	44	116	182	182	3640	182
DB00534	2	0	0	0	0	0	0	11	11	29	11
DB00533	2	0	0	2	13	13	25	29	29	924	39
DB00532	2	1	12	2	13	13	37	103	103	941	104
DB00530	2	2	30	2	70	73	252	344	347	8021	344
DB00529	2	0	0	0	0	0	0	0	0	0	0
DB00521	2	0	0	2	8	8	34	87	133	2598	93
DB00503	2	1	12	1	9	9	33	33	33	652	33
DB00500	2	0	0	2	13	13	40	28	29	976	30
DB00495	2	1	1	1	8	8	27	39	39	1000	39
DB00490	2	1	1	2	4	5	5	69	120	2176	75
DB00486	2	2	2	2	2	3	3	60	111	2042	60
DB00473	2	0	0	2	4	8	8	74	133	498	76
DB00471	2	1	1	0	0	0	0	4	4	10	6
DB00470	2	2	2	2	2	3	3	60	111	2042	60
DB00469	2	0	0	2	13	13	40	28	29	976	30
DB00468	2	0	0	1	16	16	37	128	128	2288	131
DB00465	2	0	0	2	13	13	40	28	29	976	30
DB00464	2	0	0	1	2	2	2	81	84	334	85
DB00461	2	0	0	2	13	13	40	28	29	976	30
DB00455	2	2	2	1	1	1	4	25	25	198	25
DB00453	2	0	0	0	0	0	0	0	0	0	0
DB00452	2	1	1	1	15	15	47	111	111	2370	111
DB00451	2	2	2	2	16	28	72	50	77	2036	50
DB00450	2	1	1	2	6	7	7	72	110	2084	78
DB00448	2	1	2	2	15	15	41	60	60	925	66
DB00447	2	0	0	0	0	0	0	0	0	0	0
DB00445	2	2	17	2	20	21	63	296	314	5277	296
DB00440	2	2	13	0	0	0	0	5	5	36	5
DB00426	2	0	0	0	0	0	0	0	0	0	0
DB00407	2	1	1	2	1	2	2	17	34	172	17
DB00399	2	2	2	2	2	2	2	3	3	4	3
DB00380	2	2	21	2	3	4	23	103	190	2619	103
DB00379	2	1	1	2	6	6	24	92	92	735	93
DB00365	2	0	0	0	0	0	0	0	0	0	0
DB00358	2	0	0	0	0	0	0	44	44	875	55
DB00357	2	2	7	2	4	4	20	13	13	158	13
DB00355	2	0	0	0	0	0	0	0	0	0	0
DB00354	2	1	1	0	0	0	0	8	8	146	8
DB00353	2	0	0	1	2	2	8	52	86	1733	56
DB00351	2	2	9	2	28	33	91	108	124	3235	108
DB00344	2	1	1	0	0	0	0	7	11	23	8
DB00338	2	1	1	2	5	5	27	48	48	492	54
DB00337	2	1	4	2	36	39	105	529	538	13980	549
DB00335	2	0	0	2	8	8	34	87	133	2598	93
DB00304	2	2	22	2	53	63	170	210	232	5191	210
DB00299	2	0	0	0	0	0	0	0	0	0	0
DB00297	2	0	0	2	5	5	5	114	114	1136	117
DB00294	2	2	22	2	53	63	170	210	232	5191	210
DB00293	2	1	9	1	6	6	11	11	11	328	12
DB00290	2	2	2	2	8	13	30	50	77	1934	50
DB00288	2	1	4	2	17	17	58	81	81	1941	86
DB00267	2	0	0	0	0	0	0	0	0	0	0
DB00264	2	0	0	2	8	8	34	87	133	2598	93
DB00260	2	0	0	0	0	0	0	0	0	0	0
DB00256	2	0	0	0	0	0	0	0	0	0	0
DB00250	2	0	0	0	0	0	0	0	0	0	0
DB00243	2	0	0	2	4	8	8	71	131	481	72
DB00221	2	0	0	2	8	8	34	87	133	2598	93
DB00195	2	0	0	2	8	8	34	87	133	2598	93
DB00188	2	0	0	2	10	15	32	170	258	3886	194
DB00185	2	0	0	0	0	0	0	5	5	123	5
DB00181	2	0	0	2	2	3	3	14	22	230	17
DB00179	2	2	6	0	0	0	0	4	4	10	4
DB00178	2	0	0	1	1	1	1	60	61	1176	61
DB00176	2	1	1	1	1	1	4	27	27	164	28
DB00154	2	0	0	2	13	13	40	28	29	976	30
DB00152	2	0	0	0	0	0	0	0	0	0	0
DB00107	2	0	0	1	1	1	1	49	49	916	51
DB00105	2	2	7	2	3	3	8	21	30	703	21
DB00099	2	2	5	2	2	2	2	21	22	265	21
DB00097	2	1	2	1	1	1	1	13	14	486	14
DB00086	2	0	0	1	8	8	19	108	109	495	121
DB00083	2	0	0	2	70	70	232	442	446	9572	610
DB00069	2	2	7	2	3	3	8	21	30	703	21
DB00068	2	2	7	2	3	3	8	21	30	703	21
DB00060	2	2	7	2	3	3	8	21	30	703	21
DB00052	2	1	1	2	4	6	8	27	37	1190	28
DB00050	2	2	8	2	2	2	2	53	56	1040	53
DB00047	2	1	2	2	49	77	168	388	668	24757	393
DB00046	2	1	2	2	49	77	168	388	668	24757	393
DB00043	2	0	0	2	4	5	7	13	14	460	13
DB00034	2	2	7	2	3	3	8	21	30	703	21
DB00033	2	0	0	2	1	2	2	14	18	566	17
DB00032	2	1	2	1	1	1	1	13	14	486	14
DB00022	2	2	7	2	3	3	8	21	30	703	21
DB00019	2	2	5	2	2	2	2	21	22	265	21
DB00018	2	2	7	2	3	3	8	21	30	703	21
DB00014	2	2	8	2	2	2	2	53	56	1040	53
DB00011	2	2	7	2	3	3	8	21	30	703	21
DB00008	2	2	7	2	3	3	8	21	30	703	21
DB13881	1	1	2	1	8	8	19	18	18	571	18
DB13879	1	0	0	0	0	0	0	0	0	0	0
DB13874	1	1	1	1	1	1	1	19	19	164	19
DB13873	1	1	1	1	21	21	58	65	65	1390	65
DB13173	1	0	0	1	2	2	2	20	20	200	32
DB13170	1	0	0	1	8	8	14	87	87	2117	90
DB13167	1	0	0	1	12	12	23	26	26	900	28
DB13164	1	1	18	1	64	64	219	314	314	7369	314
DB13161	1	0	0	0	0	0	0	0	0	0	0
DB13158	1	1	4	1	14	14	37	74	74	1684	74
DB13155	1	1	15	1	34	34	92	234	234	3877	234
DB13154	1	0	0	1	4	4	4	28	28	141	28
DB13144	1	1	3	1	1	1	1	8	8	140	8
DB13140	1	0	0	0	0	0	0	0	0	0	0
DB13139	1	0	0	1	7	7	33	82	82	1710	86
DB13092	1	0	0	0	0	0	0	0	0	0	0
DB12865	1	1	1	1	14	14	19	107	107	309	107
DB12442	1	1	3	1	104	104	326	773	773	13861	773
DB12323	1	1	8	1	62	62	182	430	430	15641	430
DB12159	1	0	0	1	4	4	5	18	18	483	19
DB12026	1	0	0	0	0	0	0	0	0	0	0
DB11988	1	1	5	0	0	0	0	0	0	0	0
DB11945	1	1	3	1	2	2	5	3	3	65	3
DB11915	1	0	0	0	0	0	0	0	0	0	0
DB11834	1	0	0	1	1	1	5	3	3	20	4
DB11828	1	1	18	1	64	64	219	314	314	7369	314
DB11737	1	1	18	1	64	64	219	314	314	7369	314
DB11699	1	0	0	0	0	0	0	0	0	0	0
DB11611	1	0	0	1	4	4	9	34	34	872	37
DB11604	1	0	0	0	0	0	0	0	0	0	0
DB11601	1	0	0	1	9	9	18	140	140	2062	143
DB11598	1	1	1	1	1	1	1	17	17	86	17
DB11597	1	0	0	0	0	0	0	0	0	0	0
DB11595	1	1	3	1	2	2	5	3	3	65	3
DB11591	1	1	1	0	0	0	0	5	5	51	5
DB11586	1	0	0	0	0	0	0	0	0	0	0
DB11581	1	1	6	1	21	21	51	109	109	2232	109
DB11577	1	1	1	1	2	2	20	22	22	446	22
DB11575	1	0	0	0	0	0	0	0	0	0	0
DB11569	1	0	0	1	3	3	8	12	12	249	14
DB11367	1	0	0	0	0	0	0	0	0	0	0
DB11365	1	0	0	0	0	0	0	0	0	0	0
DB11363	1	1	3	1	9	9	36	35	35	1289	35
DB11362	1	0	0	1	1	1	1	37	37	817	37
DB11359	1	1	1	1	2	2	2	16	16	73	16
DB11120	1	1	1	1	89	89	286	746	746	18650	746
DB09564	1	0	0	1	36	36	51	320	320	11882	325
DB09559	1	1	18	1	64	64	219	314	314	7369	314
DB09555	1	1	1	0	0	0	0	5	5	51	5
DB09552	1	0	0	1	1	1	1	28	28	188	30
DB09536	1	0	0	0	0	0	0	0	0	0	1
DB09526	1	0	0	0	0	0	0	0	0	0	0
DB09513	1	0	0	0	0	0	0	0	0	0	0
DB09510	1	0	0	0	0	0	0	0	0	0	0
DB09488	1	1	1	0	0	0	0	5	5	51	5
DB09422	1	1	1	1	21	21	58	65	65	1390	65
DB09357	1	0	0	0	0	0	0	2	2	28	2
DB09351	1	0	0	1	1	1	1	51	51	888	54
DB09331	1	0	0	1	1	1	2	1	1	46	1
DB09330	1	1	18	1	64	64	219	314	314	7369	314
DB09324	1	0	0	0	0	0	0	0	0	0	0
DB09318	1	1	17	1	44	44	116	182	182	3640	182
DB09317	1	1	17	1	44	44	116	182	182	3640	182
DB09302	1	0	0	1	2	2	6	11	11	147	35
DB09299	1	0	0	0	0	0	0	0	0	0	0
DB09297	1	0	0	0	0	0	0	0	0	0	0
DB09296	1	0	0	0	0	0	0	0	0	0	0
DB09292	1	0	0	1	1	1	1	6	6	72	7
DB09290	1	0	0	0	0	0	0	0	0	0	0
DB09289	1	0	0	0	0	0	0	7	7	17	8
DB09280	1	0	0	1	5	5	5	146	146	2137	168
DB09279	1	0	0	1	4	4	25	76	76	1899	81
DB09275	1	0	0	0	0	0	0	0	0	0	0
DB09274	1	0	0	0	0	0	0	0	0	0	0
DB09265	1	0	0	0	0	0	0	1	1	27	3
DB09220	1	0	0	1	1	1	1	62	62	1217	64
DB09217	1	0	0	1	12	12	23	26	26	900	28
DB09198	1	0	0	1	13	13	40	90	90	1588	101
DB09185	1	1	1	0	0	0	0	4	4	6	4
DB09183	1	0	0	0	0	0	0	0	0	0	0
DB09151	1	0	0	1	5	5	14	64	64	907	80
DB09149	1	0	0	1	5	5	14	64	64	907	80
DB09148	1	0	0	1	5	5	14	64	64	907	80
DB09146	1	0	0	0	0	0	0	3	3	16	12
DB09143	1	1	2	1	5	5	12	68	68	1380	68
DB09129	1	0	0	1	36	36	51	320	320	11882	325
DB09126	1	1	2	1	1	1	1	7	7	108	7
DB09120	1	0	0	1	3	3	3	6	6	150	7
DB09119	1	0	0	0	0	0	0	0	0	0	3
DB09107	1	1	1	1	5	5	23	25	25	1042	25
DB09105	1	0	0	1	12	12	45	17	17	694	18
DB09101	1	0	0	0	0	0	0	0	0	0	0
DB09090	1	0	0	1	4	4	4	65	65	428	68
DB09082	1	0	0	1	7	7	33	82	82	1710	86
DB09080	1	0	0	1	7	7	33	82	82	1710	86
DB09075	1	0	0	1	3	3	3	46	46	116	59
DB09069	1	0	0	0	0	0	0	14	14	16	16
DB09067	1	0	0	0	0	0	0	3	3	44	7
DB09063	1	1	3	1	9	9	36	35	35	1289	35
DB09057	1	0	0	0	0	0	0	0	0	0	0
DB09053	1	1	3	1	35	35	62	263	263	12615	263
DB09049	1	0	0	1	1	1	1	60	60	991	65
DB09048	1	0	0	0	0	0	0	5	5	354	7
DB09046	1	0	0	1	7	7	49	24	24	822	28
DB09045	1	0	0	0	0	0	0	1	1	27	3
DB09043	1	0	0	0	0	0	0	1	1	27	3
DB09041	1	0	0	0	0	0	0	0	0	0	0
DB09040	1	0	0	0	0	0	0	0	0	0	0
DB09039	1	0	0	1	2	2	4	5	5	214	5
DB09038	1	0	0	0	0	0	0	0	0	0	0
DB09037	1	1	3	1	1	1	3	6	6	117	6
DB09036	1	0	0	1	2	2	4	12	12	247	14
DB09035	1	1	3	1	1	1	3	6	6	117	6
DB09031	1	1	4	1	6	6	18	107	107	2132	107
DB09030	1	0	0	0	0	0	0	13	13	146	19
DB09029	1	0	0	1	3	3	8	12	12	249	14
DB09027	1	0	0	0	0	0	0	0	0	0	0
DB09026	1	0	0	0	0	0	0	14	14	187	19
DB09018	1	0	0	1	4	4	4	63	63	1196	69
DB08935	1	1	5	0	0	0	0	0	0	0	0
DB08934	1	0	0	0	0	0	0	0	0	0	0
DB08933	1	0	0	0	0	0	0	0	0	0	0
DB08931	1	0	0	1	8	8	14	87	87	2117	90
DB08930	1	0	0	0	0	0	0	0	0	0	0
DB08906	1	1	4	1	14	14	37	74	74	1684	74
DB08904	1	0	0	1	11	11	36	72	72	1542	83
DB08903	1	0	0	0	0	0	0	0	0	0	0
DB08902	1	0	0	0	0	0	0	0	0	0	0
DB08900	1	0	0	0	0	0	0	0	0	0	2
DB08899	1	1	15	1	34	34	92	234	234	3877	234
DB08894	1	1	1	1	5	5	23	25	25	1042	25
DB08893	1	0	0	1	2	2	11	51	51	1013	53
DB08890	1	0	0	1	9	9	18	92	92	2230	96
DB08883	1	0	0	1	4	4	9	35	35	329	44
DB08882	1	0	0	1	1	1	1	8	8	79	12
DB08881	1	1	3	1	28	28	52	169	169	7379	169
DB08880	1	0	0	1	1	1	1	14	14	21	15
DB08879	1	0	0	0	0	0	0	1	1	32	6
DB08874	1	0	0	0	0	0	0	0	0	0	0
DB08873	1	0	0	0	0	0	0	0	0	0	0
DB08870	1	1	1	0	0	0	0	5	5	20	5
DB08869	1	0	0	0	0	0	0	0	0	0	1
DB08860	1	0	0	1	2	2	2	9	9	144	21
DB08844	1	1	1	1	1	1	1	4	4	8	4
DB08836	1	0	0	0	0	0	0	4	4	188	4
DB08835	1	1	1	0	0	0	0	17	17	748	17
DB08828	1	1	2	1	5	5	12	68	68	1380	68
DB08827	1	0	0	0	0	0	0	2	2	17	2
DB08822	1	0	0	1	4	4	25	76	76	1899	81
DB08820	1	0	0	1	5	5	5	146	146	2137	168
DB08819	1	0	0	1	1	1	1	47	47	893	47
DB08816	1	0	0	0	0	0	0	1	1	39	1
DB08806	1	0	0	0	0	0	0	39	39	806	40
DB08805	1	0	0	0	0	0	0	39	39	806	40
DB08804	1	1	15	1	34	34	92	234	234	3877	234
DB08802	1	1	1	0	0	0	0	5	5	51	5
