DB00001	B
DB00002	L
DB00003	R
DB00004	L
DB00005	L
DB00006	B
DB00007	L
DB00008	L
DB00009	S B
DB00010	H V
DB00011	L
DB00012	B
DB00013	B
DB00014	L
DB00015	B
DB00016	B
DB00017	H
DB00018	-
DB00019	L
DB00020	L
DB00021	V
DB00022	L
DB00023	L
DB00024	H V
DB00025	B
DB00026	L
DB00027	R
DB00028	-
DB00029	B
DB00030	A
DB00031	B
DB00032	G
DB00033	-
DB00034	L
DB00035	H
DB00036	B
DB00038	L
DB00039	V
DB00040	H
DB00041	L
DB00042	M
DB00043	R
DB00044	G
DB00045	-
DB00046	A
DB00047	A
DB00048	M D
DB00049	M V
DB00050	H
DB00051	L
DB00052	H
DB00053	A
DB00054	B
DB00055	B
DB00056	L
DB00057	V
DB00058	B
DB00059	L
DB00060	L
DB00061	-
DB00062	V
DB00063	B
DB00065	L
DB00066	G
DB00067	H
DB00068	L
DB00069	L
DB00070	B
DB00071	A
DB00072	L
DB00073	L
DB00074	L
DB00075	L
DB00076	V
DB00078	V
DB00080	J
DB00081	V
DB00082	H
DB00083	M
DB00085	A
DB00086	B
DB00087	L
DB00088	A
DB00089	V
DB00090	A
DB00091	S L
DB00092	L
DB00093	-
DB00094	G
DB00095	L
DB00097	G
DB00098	L
DB00099	L
DB00100	B
DB00102	A D
DB00103	A
DB00104	H
DB00105	L
DB00106	L
DB00107	H G
DB00108	L
DB00109	J
DB00110	J
DB00111	L
DB00112	L
DB00113	V
DB00114	A
DB00115	B
DB00116	-
DB00117	-
DB00118	A
DB00119	-
DB00120	-
DB00121	A
DB00122	N
DB00123	B
DB00125	B
DB00126	S A G
DB00127	-
DB00128	-
DB00129	-
DB00130	A
DB00131	-
DB00132	-
DB00133	-
DB00134	V
DB00135	-
DB00136	A D
DB00137	-
DB00138	-
DB00139	-
DB00140	A
DB00141	-
DB00142	A
DB00143	V
DB00144	-
DB00145	B
DB00146	A
DB00147	-
DB00148	-
DB00149	-
DB00150	N
DB00151	-
DB00152	A
DB00153	A
DB00154	-
DB00155	-
DB00156	-
DB00157	-
DB00158	B
DB00159	-
DB00160	-
DB00161	-
DB00162	S A D R V
DB00163	-
DB00165	A
DB00166	A
DB00167	-
DB00168	-
DB00169	A M
DB00170	B
DB00171	-
DB00172	-
DB00173	-
DB00174	-
DB00175	C
DB00176	N
DB00177	C
DB00178	C
DB00179	L
DB00180	R
DB00181	M
DB00182	N
DB00183	V
DB00184	N
DB00185	N
DB00186	N
DB00187	C
DB00188	L
DB00189	N
DB00190	-
DB00191	A
DB00192	-
DB00193	N
DB00194	S J
DB00195	S C
DB00196	J D
DB00197	A
DB00198	J
DB00199	S J D
DB00200	B V
DB00201	N R V
DB00202	M
DB00203	G
DB00204	C
DB00205	P
DB00206	C
DB00207	S J
DB00208	B
DB00209	A G
DB00210	D
DB00211	C
DB00212	C
DB00213	A
DB00214	C
DB00215	N
DB00216	N
DB00217	C
DB00218	S J
DB00219	A
DB00220	J
DB00221	R
DB00222	A
DB00223	D
DB00224	J
DB00225	V
DB00226	-
DB00227	C
DB00228	N
DB00229	J
DB00230	N
DB00231	N
DB00232	C G
DB00233	J
DB00234	N
DB00235	C
DB00236	L
DB00237	-
DB00238	J
DB00239	D G
DB00240	S D
DB00241	-
DB00242	L
DB00243	C
DB00244	A
DB00245	N
DB00246	N
DB00247	N
DB00248	N G
DB00249	S J D
DB00250	J D
DB00251	G
DB00252	N
DB00253	S
DB00254	A J
DB00255	G L
DB00256	J
DB00257	A D G
DB00258	A V
DB00259	J D G
DB00260	J
DB00261	L
DB00262	L
DB00263	S J G
DB00264	C
DB00265	-
DB00266	B
DB00267	J
DB00268	N
DB00269	G
DB00270	C
DB00271	V
DB00272	V
DB00273	N
DB00274	J
DB00275	C
DB00276	L
DB00277	R
DB00278	B
DB00279	H
DB00280	C
DB00281	S N D C R
DB00282	M
DB00283	D R
DB00284	A
DB00285	N
DB00286	G
DB00287	S
DB00288	D
DB00289	N
DB00290	L
DB00291	L
DB00292	N
DB00293	L
DB00294	G
DB00295	A N
DB00296	N
DB00297	N
DB00298	S
DB00299	J D
DB00300	J
DB00301	J
DB00302	B
DB00303	J
DB00304	G
DB00305	L
DB00306	N
DB00307	L
DB00308	C
DB00309	L
DB00310	C G
DB00311	-
DB00312	N
DB00313	N
DB00314	J
DB00315	N
DB00316	N
DB00317	L
DB00318	N R
DB00319	J
DB00320	N
DB00321	N
DB00322	-
DB00323	N
DB00324	S D C
DB00325	C
DB00326	A
DB00327	N
DB00328	S M C
DB00330	J
DB00331	A
DB00332	R
DB00333	N
DB00334	N
DB00335	C
DB00336	S D P B
DB00337	D
DB00338	A
DB00339	J
DB00340	N
DB00341	R
DB00342	R
DB00343	C
DB00344	N
DB00345	V
DB00346	G
DB00347	N
DB00348	A
DB00349	N
DB00350	D C
DB00351	G L
DB00352	L
DB00353	G
DB00354	R
DB00355	J
DB00356	M
DB00357	L
DB00358	P
DB00359	J G
DB00360	A
DB00361	L
DB00362	J
DB00363	N
DB00364	A
DB00365	J
DB00366	R
DB00367	G
DB00368	C
DB00369	J
DB00370	N
DB00371	N
DB00372	R
