DB00001	1	B01AE02
DB00002	1	L01XC06
DB00003	1	R05CB13
DB00004	1	L01XX29
DB00005	1	L04AB01
DB00006	1	B01AE06
DB00007	1	L02AE02
DB00008	2	L03AB11 L03AB61
DB00009	2	B01AD02 S01XA13
DB00010	2	H01AC04 V04CD03
DB00011	1	L03AB06
DB00012	1	B03XA02
DB00013	1	B01AD04
DB00014	1	L02AE03
DB00015	1	B01AD07
DB00016	1	B03XA01
DB00017	1	H05BA01
DB00019	1	L03AA13
DB00020	1	L03AA09
DB00021	1	V04CK01
DB00022	2	L03AB10 L03AB60
DB00023	1	L01XX02
DB00024	2	H01AB01 V04CJ01
DB00025	1	B02BD02
DB00026	1	L04AC03
DB00027	1	R02AB30
DB00029	1	B01AD03
DB00030	5	A10AB01 A10AC01 A10AD01 A10AE01 A10AF01
DB00031	1	B01AD11
DB00032	1	G03GA02
DB00034	1	L03AB04
DB00035	1	H01BA02
DB00036	1	B02BD08
DB00038	1	L03AC02
DB00039	1	V03AF08
DB00040	1	H04AA01
DB00041	1	L03AC01
DB00042	1	M03AX01
DB00043	1	R03DX05
DB00044	1	G03GA07
DB00046	3	A10AB04 A10AC04 A10AD04
DB00047	1	A10AE04
DB00048	3	D03BA02 D03BA52 M09AB02
DB00049	2	M04AX01 V03AF07
DB00050	1	H01CC02
DB00051	1	L04AB04
DB00052	1	H01AC01
DB00053	1	A16AB02
DB00054	1	B01AC13
DB00055	1	B01AD10
DB00056	1	L01XC05
DB00057	1	V09IB02
DB00058	1	B02AB02
DB00059	1	L01XX24
DB00060	1	L03AB07
DB00062	1	V08DA01
DB00063	1	B01AC16
DB00065	1	L04AB02
DB00066	2	G03GA05 G03GA06
DB00067	3	H01BA01 H01BA03 H01BA06
DB00068	1	L03AB08
DB00069	1	L03AB09
DB00070	1	B06AA03
DB00071	4	A10AB03 A10AC03 A10AD03 A10AE03
DB00072	1	L01XC03
DB00073	1	L01XC02
DB00074	1	L04AC02
DB00075	1	L04AA02
DB00076	1	V03AB24
DB00078	1	V10XX02
DB00080	1	J01XX09
DB00081	1	V10XA53
DB00082	1	H01AX01
DB00083	1	M03AX01
DB00085	1	A09AA02
DB00086	2	B01AD01 B06AA55
DB00087	1	L04AA34
DB00088	1	A16AB01
