DB11154	approved
DB02765	experimental
DB10969	approved
DB08564	experimental
DB03318	experimental
DB01598	approved
DB07415	experimental
DB00431	approved, withdrawn
DB08111	experimental
DB00298	approved
DB05090	investigational
DB01601	approved
DB00847	approved, investigational
DB08665	experimental
DB08733	experimental
DB02807	experimental
DB04145	experimental
DB01580	approved
DB02457	experimental
DB12613	investigational
DB12201	investigational
DB08217	experimental
DB10581	approved
DB02319	experimental
DB03063	experimental
DB07071	experimental
DB11657	investigational
DB00868	approved
DB11121	approved
DB12749	investigational
DB08721	experimental
DB00396	approved, vet_approved
DB05315	investigational
DB04779	experimental
DB04298	experimental
DB08306	experimental
DB00888	approved
DB12258	investigational
DB03451	experimental
DB00602	approved, vet_approved
DB11129	approved
DB07991	experimental
DB04295	experimental
DB02200	experimental
DB13011	investigational
DB05344	investigational
DB06728	experimental
DB03893	experimental
DB07061	experimental
DB02263	experimental
DB07622	experimental
DB04924	investigational
DB08599	experimental
DB13786	experimental
DB07974	experimental
DB12741	investigational
DB11799	investigational
DB06080	investigational
DB03163	experimental
DB06155	approved, investigational
DB11112	approved
DB10401	approved
DB12002	investigational
DB10614	approved
DB12011	investigational
DB10474	approved
DB07581	experimental
DB10625	approved
DB09028	approved, investigational
DB05824	investigational
DB05143	investigational
DB03059	experimental
DB02583	experimental
DB09190	experimental
DB03479	experimental
DB03612	experimental
DB05198	investigational
DB12732	investigational
DB08224	experimental
DB11863	investigational
DB08931	approved
DB08887	approved, nutraceutical
DB02034	experimental
DB01891	experimental
DB01177	approved
DB12598	approved, investigational
DB04089	experimental
DB08198	experimental
DB04312	experimental
DB12630	investigational
DB04762	experimental
DB02226	experimental
DB12608	investigational
DB12020	investigational
DB07044	experimental
DB11104	approved
DB09222	approved
DB12935	investigational
DB10366	approved
DB01979	experimental
DB08107	experimental
DB11782	investigational
DB08869	approved, investigational
DB03879	experimental
DB09418	approved
DB11386	vet_approved
DB12286	investigational
DB11261	approved
DB07342	experimental
DB07247	experimental
DB05896	investigational
DB08622	experimental
DB04065	experimental
DB07730	experimental
DB07013	experimental
DB13048	investigational
DB12230	investigational
DB06897	experimental
DB11193	approved
DB07006	experimental
DB09001	experimental
DB12135	investigational
DB08334	experimental
DB02528	experimental
DB08399	experimental
DB02697	experimental
DB12881	investigational
DB05079	investigational
DB03626	experimental
DB11717	investigational
DB06952	experimental
DB09326	approved
DB08698	experimental
DB05411	investigational
